Movie,Release Year,John Siracusa's Rating
Children Who Chase Lost Voices,2011,3.0
Bridesmaids,2011,3.5
Thor,2011,3.5
Hanna,2011,4.0
Source Code,2011,2.5
The Adjustment Bureau,2011,2.5
Sound of My Voice,2011,2.5
La Luna,2011,4.0
True Grit,2010,4.5
The Fighter,2010,3.0
TRON: Legacy,2010,3.0
Skyline,2010,0.0
Unstoppable,2010,0.0
Megamind,2010,3.0
Harry Potter and the Deathly Hallows: Part 1,2010,0.0
Senna,2010,3.5
The Social Network,2010,3.0
The Town,2010,3.0
Black Swan,2010,4.0
The American,2010,3.0
Scott Pilgrim vs. the World,2010,4.0
Salt,2010,2.5
The Secret World of Arrietty,2010,4.5
Inception,2010,2.5
Senna,2010,3.5
Toy Story 3,2010,4.5
Iron Man 2,2010,2.5
The People vs. George Lucas,2010,2.5
Monsters,2010,3.0
How to Train Your Dragon,2010,4.0
Tangled,2010,3.5
Percy Jackson & the Olympians: The Lightning Thief,2010,2.5
Joan Rivers: A Piece of Work,2010,3.5
Exit Through the Gift Shop,2010,3.0
Winter's Bone,2010,4.0
The Book of Eli,2010,2.5
Avatar,2009,3.5
The Road,2009,3.5
Fantastic Mr. Fox,2009,4.5
Where the Wild Things Are,2009,4.0
2012,2009,2.5
Zombieland,2009,4.0
A Serious Man,2009,4.5
Up in the Air,2009,4.0
Julie & Julia,2009,3.5
District 9,2009,3.5
Partly Cloudy,2009,0.0
Terminator Salvation,2009,2.5
Inglourious Basterds,2009,4.5
Up,2009,4.0
Powder Blue,2009,2.5
Star Trek,2009,4.0
X-Men Origins: Wolverine,2009,2.0
Adventureland,2009,3.5
Knowing,2009,2.5
Objectified,2009,3.5
The Girl with the Dragon Tattoo,2009,3.5
Watchmen,2009,3.0
Moon,2009,4.0
Ip Man,2008,3.0
The Reader,2008,2.5
Gran Torino,2008,2.5
A Matter of Loaf and Death,2008,3.0
Quantum of Solace,2008,3.0
"Synecdoche, New York",2008,4.5
Religulous,2008,3.0
The Brothers Bloom,2008,3.5
"Food, Inc.",2008,3.0
The Hurt Locker,2008,4.0
Burn After Reading,2008,3.5
The X Files: I Want to Believe,2008,0.0
Ponyo,2008,4.0
The Dark Knight,2008,3.5
Hancock,2008,3.0
WALL·E,2008,4.0
Presto,2008,3.5
Wanted,2008,2.5
The Happening,2008,1.5
Wendy and Lucy,2008,4.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,1.5
Tyson,2008,0.0
Slumdog Millionaire,2008,3.0
Iron Man,2008,4.0
Forgetting Sarah Marshall,2008,4.0
The Other Boleyn Girl,2008,2.5
In Bruges,2008,3.5
Let the Right One In,2008,4.0
Cloverfield,2008,4.5
Sense and Sensibility,2008,3.0
I Am Legend,2007,3.5
The Golden Compass,2007,2.5
The Mist,2007,2.5
There Will Be Blood,2007,3.0
Helvetica,2007,3.0
Eastern Promises,2007,3.0
Let the Right One In,2008,4.0
Juno,2007,3.5
Into the Wild,2007,3.5
Michael Clayton,2007,4.0
The Pixar Story,2007,2.5
The King of Kong: A Fistful of Quarters,2007,4.0
The Bourne Ultimatum,2007,3.5
Harry Potter and the Order of the Phoenix,2007,0.0
Transformers,2007,1.5
Ratatouille,2007,3.0
Knocked Up,2007,2.5
Ocean's Thirteen,2007,0.0
Death Proof,2007,4.0
No Country for Old Men,2007,4.5
Spider-Man 3,2007,2.0
Grindhouse,2007,3.5
Planet Terror,2007,3.0
Sunshine,2007,2.0
The Lookout,2007,3.5
5 Centimeters per Second,2007,4.5
Zodiac,2007,3.5
Hot Fuzz,2007,3.5
Chasing Ghosts: Beyond the Arcade,2007,0.0
Lifted,2006,0.0
Rocky Balboa,2006,2.0
Letters from Iwo Jima,2006,3.5
The Good Shepherd,2006,4.5
300,2006,3.5
Casino Royale,2006,4.5
The Prestige,2006,3.5
Flags of Our Fathers,2006,3.5
Paprika,2006,3.5
The Departed,2006,4.0
Children of Men,2006,3.5
Cashback,2006,3.5
The Namesake,2006,2.5
Little Children,2006,3.0
Pan's Labyrinth,2006,5.0
The Illusionist,2006,3.5
Mater and the Ghostlight,2006,0.0
Miami Vice,2006,3.0
The Host,2006,3.0
Wordplay,2006,3.0
Superman Returns,2006,2.5
Clerks II,2006,2.5
X-Men: The Last Stand,2006,2.5
Fast Food Nation,2006,0.0
The Da Vinci Code,2006,1.5
Mission: Impossible III,2006,2.5
United 93,2006,3.0
Jesus Camp,2006,3.0
Inside Man,2006,2.5
The Lives of Others,2006,3.5
Cars,2006,3.5
Lucky Number Slevin,2006,3.0
Ghost in the Shell: Stand Alone Complex - Individual Eleven,2006,3.5
Little Miss Sunshine,2006,3.5
Munich,2005,4.0
V for Vendetta,2005,2.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,0.0
King Kong,2005,3.5
Æon Flux,2005,1.5
Syriana,2005,4.5
Harry Potter and the Goblet of Fire,2005,0.0
Jarhead,2005,2.5
Elizabethtown,2005,2.5
A History of Violence,2005,3.0
Flightplan,2005,2.5
Walk the Line,2005,3.0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,3.0
Brokeback Mountain,2005,4.0
Syriana,2005,4.0
Grizzly Man,2005,3.5
The Island,2005,1.5
Fantastic Four,2005,1.5
One Man Band,2005,0.0
War of the Worlds,2005,3.5
Mr. & Mrs. Smith,2005,2.0
Batman Begins,2005,4.5
Star Wars: Episode III - Revenge of the Sith,2005,1.0
Kiss Kiss Bang Bang,2005,3.0
Match Point,2005,3.0
The Hitchhiker's Guide to the Galaxy,2005,1.5
Fever Pitch,2005,3.0
Sin City,2005,3.0
Jack-Jack Attack,2005,2.5
March of the Penguins,2005,3.0
Brick,2005,4.5
Ocean's Twelve,2004,3.5
Million Dollar Baby,2004,3.0
Closer,2004,2.5
The Place Promised in Our Early Days,2004,3.0
Howl's Moving Castle,2004,3.5
The Incredibles,2004,5.0
Sky Captain and the World of Tomorrow,2004,3.0
Hotel Rwanda,2004,3.5
Crash,2004,2.5
Collateral,2004,3.5
The Village,2004,2.5
The Bourne Supremacy,2004,3.5
Spider-Man 2,2004,3.5
Napoleon Dynamite,2004,3.0
Harry Potter and the Prisoner of Azkaban,2004,0.0
Word Wars,2004,3.0
House of Flying Daggers,2004,3.0
The Day After Tomorrow,2004,0.0
Troy,2004,1.5
Appleseed,2004,3.0
Kill Bill: Vol. 2,2004,5.0
Eternal Sunshine of the Spotless Mind,2004,4.0
Ghost in the Shell 2: Innocence,2004,0.0
The Machinist,2004,3.5
Spartan,2004,2.5
Super Size Me,2004,3.0
Primer,2004,4.0
Garden State,2004,3.0
Big Fish,2003,4.0
The Last Samurai,2003,2.5
The Lord of the Rings: The Return of the King,2003,3.5
Master and Commander: The Far Side of the World,2003,2.5
The Matrix Revolutions,2003,2.5
Boundin',2003,3.0
Mystic River,2003,4.0
School of Rock,2003,2.5
Kill Bill: Vol. 1,2003,4.5
Matchstick Men,2003,0.0
Girl with a Pearl Earring,2003,2.5
Lost in Translation,2003,4.5
Freaky Friday,2003,0.0
Terminator 3: Rise of the Machines,2003,2.5
Pirates of the Caribbean: The Curse of the Black Pearl,2003,3.5
The Italian Job,2003,0.0
Finding Nemo,2003,4.0
The Matrix Reloaded,2003,3.0
The Animatrix,2003,3.5
Identity,2003,2.5
X2,2003,3.5
The Core,2003,0.5
Dreamcatcher,2003,0.0
Chicago,2002,3.0
Catch Me If You Can,2002,3.5
The Lord of the Rings: The Two Towers,2002,4.0
The Matrix Reloaded,2003,3.5
Gangs of New York,2002,3.0
Star Trek: Nemesis,2002,0.0
Adaptation.,2002,3.0
Die Another Day,2002,0.0
Spellbound,2002,0.0
Harry Potter and the Chamber of Secrets,2002,0.0
28 Days Later,2002,3.5
Comedian,2002,3.5
Bowling for Columbine,2002,0.0
Signs,2002,2.5
Hero,2002,3.0
The Cat Returns,2002,3.0
Reign of Fire,2002,2.5
Men in Black II,2002,0.0
Minority Report,2002,3.0
The Bourne Identity,2002,4.0
Insomnia,2002,2.5
Punch-Drunk Love,2002,3.0
Star Wars: Episode II - Attack of the Clones,2002,0.5
Spider-Man,2002,3.5
Bend It Like Beckham,2002,3.0
Blade II,2002,2.5
Panic Room,2002,2.5
Ice Age,2002,3.0
My Big Fat Greek Wedding,2002,3.0
Voices of a Distant Star,2002,4.0
Black Hawk Down,2001,3.0
A Beautiful Mind,2001,3.0
Vanilla Sky,2001,2.5
The Lord of the Rings: The Fellowship of the Ring,2001,3.5
Ocean's Eleven,2001,4.5
Behind Enemy Lines,2001,0.0
Harry Potter and the Philosopher's Stone,2001,0.0
"Monsters, Inc.",2001,4.0
Training Day,2001,3.0
The Royal Tenenbaums,2001,3.5
Jay and Silent Bob Strike Back,2001,0.0
Millennium Actress,2001,5.0
Planet of the Apes,2001,0.0
Spirited Away,2001,4.5
Jurassic Park III,2001,0.0
The Score,2001,0.0
A.I. Artificial Intelligence,2001,3.0
Ghost World,2001,3.0
Metropolis,2001,2.5
R.O.D - Read or Die,2001,4.5
Mulholland Drive,2001,3.0
Shrek,2001,0.0
Amélie,2001,3.0
Bridget Jones's Diary,2001,3.0
Moulin Rouge!,2001,2.5
Hannibal,2001,3.0
Donnie Darko,2001,4.0
Enemy at the Gates,2001,2.5
Traffic,2000,3.5
Battle Royale,2000,3.0
Cast Away,2000,3.5
Blood: The Last Vampire,2000,4.0
Unbreakable,2000,4.5
For the Birds,2000,3.0
Pay It Forward,2000,0.0
Almost Famous,2000,4.0
Memento,2000,4.5
"O Brother, Where Art Thou?",2000,4.5
Vampire Hunter D: Bloodlust,2000,3.5
Snatch,2000,0.0
X-Men,2000,3.5
The Perfect Storm,2000,3.5
Chicken Run,2000,3.0
"Me, Myself & Irene",2000,0.0
Almost Famous,2000,3.5
Mission: Impossible II,2000,0.0
"Crouching Tiger, Hidden Dragon",2000,5.0
Requiem for a Dream,2000,3.5
Gladiator,2000,4.0
High Fidelity,2000,4.5
Erin Brockovich,2000,0.0
Pitch Black,2000,3.0
American Psycho,2000,3.0
Galaxy Quest,1999,3.5
The Cider House Rules,1999,2.5
Bicentennial Man,1999,0.0
The Talented Mr. Ripley,1999,0.0
The Green Mile,1999,2.5
Magnolia,1999,4.0
Jin-Roh: The Wolf Brigade,1999,4.0
The World Is Not Enough,1999,0.0
Dogma,1999,0.0
Toy Story 2,1999,5.0
The Insider,1999,0.0
Three Kings,1999,3.5
Fight Club,1999,5.0
American Beauty,1999,3.5
Being John Malkovich,1999,3.0
The Thomas Crown Affair,1999,3.0
The Sixth Sense,1999,3.0
The Iron Giant,1999,4.5
Runaway Bride,1999,0.0
Deep Blue Sea,1999,0.0
Eyes Wide Shut,1999,3.5
American Pie,1999,0.0
The Straight Story,1999,3.0
Star Wars: Episode I - The Phantom Menace,1999,2.0
Entrapment,1999,0.0
Pushing Tin,1999,0.0
Go,1999,3.5
The Matrix,1999,4.0
October Sky,1999,0.0
The Blair Witch Project,1999,2.5
The Thin Red Line,1998,3.5
A Simple Plan,1998,3.5
Shakespeare in Love,1998,3.5
Star Trek: Insurrection,1998,0.0
A Bug's Life,1998,3.5
Enemy of the State,1998,3.0
The Waterboy,1998,0.0
American History X,1998,3.0
Rush Hour,1998,0.0
Pleasantville,1998,0.0
Rushmore,1998,4.5
Elizabeth,1998,4.0
Ronin,1998,3.5
Rounders,1998,4.0
Run Lola Run,1998,3.5
Blade,1998,3.0
The Negotiator,1998,0.0
Saving Private Ryan,1998,4.5
There's Something About Mary,1998,0.0
Pi,1998,3.0
Armageddon,1998,0.0
Out of Sight,1998,5.0
The X Files,1998,3.0
Mulan,1998,3.5
The Truman Show,1998,3.0
Hope Floats,1998,0.0
Godzilla,1998,0.0
Deep Impact,1998,2.5
Wild Things,1998,0.0
"Lock, Stock and Two Smoking Barrels",1998,3.0
Sliding Doors,1998,0.0
The Big Lebowski,1998,4.0
Mulan,1998,0.0
The Wedding Singer,1998,3.0
Great Expectations,1998,2.5
Wag the Dog,1997,0.0
As Good as It Gets,1997,3.5
Tomorrow Never Dies,1997,0.0
Jackie Brown,1997,4.0
Good Will Hunting,1997,5.0
Geri's Game,1997,4.0
The Jackal,1997,2.5
Alien Resurrection,1997,2.5
Starship Troopers,1997,3.0
Titanic,1997,4.0
Boogie Nights,1997,0.0
The Spanish Prisoner,1997,3.5
Gattaca,1997,3.0
The Game,1997,5.0
Mimic,1997,2.5
G.I. Jane,1997,2.5
Event Horizon,1997,0.0
Cop Land,1997,3.0
Air Force One,1997,2.5
Neon Genesis Evangelion: The End of Evangelion,1997,3.0
Princess Mononoke,1997,5.0
Contact,1997,4.5
Perfect Blue,1997,4.5
Men in Black,1997,3.5
Face/Off,1997,0.0
The Lost World: Jurassic Park,1997,2.5
L.A. Confidential,1997,0.0
The Fifth Element,1997,3.0
Austin Powers: International Man of Mystery,1997,0.0
Romy and Michele's High School Reunion,1997,3.0
Grosse Pointe Blank,1997,4.0
Fever Pitch,1997,0.0
Chasing Amy,1997,0.0
The Saint,1997,3.0
Scream,1996,4.0
Beavis and Butt-Head Do America,1996,0.0
Mars Attacks!,1996,0.0
Jerry Maguire,1996,4.5
Star Trek: First Contact,1996,0.0
A Time to Kill,1996,0.0
Independence Day,1996,3.0
The Cable Guy,1996,0.0
Emma,1996,2.5
The Rock,1996,3.5
DragonHeart,1996,2.0
Mission: Impossible,1996,3.5
Twister,1996,0.0
Fargo,1996,4.5
The Arrival,1996,1.5
Hard Eight,1996,4.0
Happy Gilmore,1996,0.0
Broken Arrow,1996,0.0
Black Sheep,1996,0.0
Twelve Monkeys,1995,4.5
A Close Shave,1995,3.5
Heat,1995,4.0
Sense and Sensibility,1995,3.0
The American President,1995,3.5
GoldenEye,1995,0.0
Toy Story,1995,4.0
Now and Then,1995,3.0
Macross Plus: Movie Edition,1995,3.0
Ghost in the Shell,1995,4.5
Showgirls,1995,2.0
Se7en,1995,4.5
Waterworld,1995,0.0
Babe,1995,3.5
Whisper of the Heart,1995,4.5
Toy Story,1995,0.0
Judge Dredd,1995,2.0
Apollo 13,1995,3.5
Pocahontas,1995,3.0
Batman Forever,1995,0.0
The Bridges of Madison County,1995,3.5
Braveheart,1995,3.5
Die Hard: With a Vengeance,1995,0.0
Crimson Tide,1995,3.5
Casino,1995,4.0
Billy Madison,1995,0.0
Father of the Bride Part II,1995,0.5
The Usual Suspects,1995,4.5
Before Sunrise,1995,4.0
Legends of the Fall,1994,2.5
Miracle on 34th Street,1994,0.0
Star Trek: Generations,1994,0.0
Interview with the Vampire,1994,3.5
Stargate,1994,0.0
Léon: The Professional,1994,4.0
Clerks,1994,4.0
Hoop Dreams,1994,3.5
The Shawshank Redemption,1994,5.0
Heavenly Creatures,1994,3.5
True Lies,1994,3.0
Forrest Gump,1994,4.5
Three Colors: Red,1994,4.5
Pulp Fiction,1994,4.5
The Lion King,1994,0.0
Reality Bites,1994,3.0
Three Colors: White,1994,0.0
Cabin Boy,1994,0.0
Philadelphia,1993,0.0
In the Name of the Father,1993,0.0
Schindler's List,1993,4.5
The Nightmare Before Christmas,1993,3.5
Dazed and Confused,1993,0.0
The Wrong Trousers,1993,4.5
The Fugitive,1993,4.0
Sleepless in Seattle,1993,0.0
Jurassic Park,1993,4.0
The Piano,1993,0.0
Indecent Proposal,1993,0.0
Falling Down,1993,0.0
Groundhog Day,1993,4.0
Three Colors: Blue,1993,4.0
The Muppet Christmas Carol,1992,3.0
A Few Good Men,1992,4.0
Aladdin,1992,0.0
A River Runs Through It,1992,0.0
The Last of the Mohicans,1992,0.0
Glengarry Glen Ross,1992,3.5
Singles,1992,3.0
Sneakers,1992,4.0
The Crying Game,1992,2.0
Unforgiven,1992,4.0
A League of Their Own,1992,3.0
Batman Returns,1992,0.0
Porco Rosso,1992,0.0
Alien³,1992,3.5
Lethal Weapon 3,1992,0.0
Hard Boiled,1992,3.5
Basic Instinct,1992,0.0
My Cousin Vinny,1992,3.5
Wayne's World,1992,0.0
Reservoir Dogs,1992,4.5
The Prince of Tides,1991,2.5
JFK,1991,2.0
Father of the Bride,1991,4.0
Hook,1991,0.0
Star Trek VI: The Undiscovered Country,1991,0.0
Basic Instinct,1992,0.0
Beauty and the Beast,1991,0.0
Hot Shots!,1991,0.0
Boyz n the Hood,1991,3.5
Point Break,1991,4.0
Terminator 2: Judgment Day,1991,4.0
Thelma & Louise,1991,3.0
Barton Fink,1991,0.0
What About Bob?,1991,0.0
Nothing but Trouble,1991,0.0
The Silence of the Lambs,1991,4.0
The Godfather: Part III,1990,2.5
Kindergarten Cop,1990,0.0
Edward Scissorhands,1990,4.0
Misery,1990,3.0
It,1990,2.0
The Rescuers Down Under,1990,0.0
Dances with Wolves,1990,4.0
Home Alone,1990,0.0
Miller's Crossing,1990,0.0
GoodFellas,1990,5.0
Darkman,1990,3.5
Pump Up the Volume,1990,0.0
Arachnophobia,1990,0.0
Ghost,1990,0.0
Die Hard 2,1990,3.0
RoboCop 2,1990,0.0
Total Recall,1990,3.0
Back to the Future Part III,1990,2.5
Pretty Woman,1990,3.0
The Hunt for Red October,1990,4.0
Tremors,1990,4.0
Born on the Fourth of July,1989,2.0
Glory,1989,0.0
Driving Miss Daisy,1989,3.0
Back to the Future Part II,1989,3.5
Steel Magnolias,1989,0.0
A Grand Day Out,1989,3.0
Roger & Me,1989,0.0
Uncle Buck,1989,2.5
The Abyss,1989,3.5
Parenthood,1989,4.0
Kiki's Delivery Service,1989,5.0
When Harry Met Sally...,1989,5.0
UHF,1989,2.5
Licence to Kill,1989,0.0
Weekend at Bernie's,1989,0.0
Batman,1989,0.0
Ghostbusters II,1989,0.0
Do the Right Thing,1989,4.0
Star Trek V: The Final Frontier,1989,0.0
Dead Poets Society,1989,3.5
Indiana Jones and the Last Crusade,1989,4.5
Field of Dreams,1989,3.5
Pet Sematary,1989,0.0
Say Anything...,1989,4.0
Bill & Ted's Excellent Adventure,1989,2.5
Major League,1989,0.0
Knick Knack,1989,0.0
Dangerous Liaisons,1988,0.0
Dirty Rotten Scoundrels,1988,3.5
Rain Man,1988,3.5
Twins,1988,0.0
The Naked Gun: From the Files of Police Squad!,1988,0.0
Scrooged,1988,3.0
U2: Rattle and Hum,1988,3.5
Heathers,1988,0.0
Tin Toy,1988,2.5
Akira,1988,3.5
Die Hard,1988,4.5
A Fish Called Wanda,1988,4.5
Twins,1988,4.0
Who Framed Roger Rabbit,1988,0.0
Bull Durham,1988,0.0
Big,1988,3.0
Appleseed,1988,2.5
Grave of the Fireflies,1988,4.5
My Neighbor Totoro,1988,5.0
Beetlejuice,1988,3.0
Bloodsport,1988,2.5
"Good Morning, Vietnam",1987,0.0
Overboard,1987,0.0
Wall Street,1987,0.0
Empire of the Sun,1987,4.0
"Planes, Trains and Automobiles",1987,0.0
The Princess Bride,1987,5.0
Fatal Attraction,1987,0.0
Red's Dream,1987,2.5
Superman IV: The Quest for Peace,1987,0.0
Jaws: The Revenge,1987,0.0
RoboCop,1987,3.5
The Living Daylights,1987,3.5
Full Metal Jacket,1987,0.0
Spaceballs,1987,3.5
Roxanne,1987,3.5
Predator,1987,0.0
Anne of Green Gables: The Sequel,1987,4.5
Dirty Dancing,1987,4.5
The Secret of My Success,1987,3.0
Royal Space Force - The Wings Of Honneamise,1987,3.5
Lethal Weapon,1987,3.5
Raising Arizona,1987,4.0
Little Shop of Horrors,1986,0.0
Platoon,1986,0.0
¡Three Amigos!,1986,0.0
Star Trek IV: The Voyage Home,1986,3.5
The Wraith,1986,3.0
An American Tail,1986,4.0
Crocodile Dundee,1986,0.0
Luxo Jr.,1986,3.5
The Fly,1986,0.0
One Crazy Summer,1986,0.0
Stand by Me,1986,4.5
Castle in the Sky,1986,4.5
Blue Velvet,1986,0.0
Flight of the Navigator,1986,3.0
Aliens,1986,4.5
Labyrinth,1986,3.5
"The Karate Kid, Part II",1986,0.0
Ferris Bueller's Day Off,1986,5.0
Top Gun,1986,3.5
Short Circuit,1986,0.0
Lucas,1986,3.5
Highlander,1986,3.5
Pretty in Pink,1986,3.5
Vampire Hunter D,1985,3.0
A Chorus Line,1985,0.0
Spies Like Us,1985,0.0
Anne of Green Gables,1985,4.5
Rocky IV,1985,0.0
Better Off Dead...,1985,3.0
Commando,1985,2.5
Weird Science,1985,0.0
Legend,1985,3.0
Back to the Future,1985,5.0
Cocoon,1985,3.5
St. Elmo's Fire,1985,3.0
The Goonies,1985,0.0
Ran,1985,3.5
A View to a Kill,1985,0.0
The Breakfast Club,1985,4.0
Johnny Dangerously,1984,0.0
Legend,1985,3.0
Dune,1984,3.5
The Terminator,1984,3.5
Blood Simple,1984,3.5
Amadeus,1984,4.5
Revenge of the Nerds,1984,0.0
The Karate Kid,1984,4.0
Top Secret!,1984,3.0
Gremlins,1984,0.0
Ghostbusters,1984,3.5
Star Trek III: The Search for Spock,1984,0.0
Indiana Jones and the Temple of Doom,1984,3.0
Once Upon a Time in America,1984,3.0
The Natural,1984,4.5
This Is Spinal Tap,1984,3.5
Sixteen Candles,1984,3.5
The NeverEnding Story,1984,3.5
Romancing the Stone,1984,4.0
Nausicaä of the Valley of the Wind,1984,5.0
Splash,1984,2.5
Footloose,1984,3.0
A Christmas Story,1983,4.5
The Right Stuff,1983,4.0
Never Say Never Again,1983,0.0
Risky Business,1983,3.0
National Lampoon's Vacation,1983,3.0
Trading Places,1983,3.5
Octopussy,1983,0.0
WarGames,1983,4.5
Return of the Jedi,1983,4.5
Flashdance,1983,0.0
The Meaning of Life,1983,0.0
The Outsiders,1983,3.5
